recordid	userid	session	trialNum	task	imgname	srounded	sangular	slinear	smovement	spoints	ssoft	srepeated	water	people	plants	food	animals	temperature	scenetype	movement	location	keywords	timetorespond	score	z	trials	timestamp	created_at	updated_at
11	476599a230	1	1	gotpsi	p74027	1.00	0.00	1.00	NULL	0.00	0.00	1.00	5.00	1.00	1.00	1.00	1.00	2.00	5.00	4.00	5.00	mountains,water,blue,white,grey	104	0	1.01	1	2023-05-13 03:20:25	2023-05-13 03:20:25	2023-05-13 03:20:25
12	476599a230	1	2	gotpsi	p46042	0.00	1.00	1.00	NULL	1.00	0.00	1.00	2.00	1.00	1.00	1.00	2.00	3.00	3.00	1.00	2.00	bubble,translucent,round,,	268	0_100	0.26	1	2023-05-13 03:25:00	2023-05-13 03:25:00	2023-05-13 03:25:00
13	fbf3589622	1	1	GotPsi	400038	1.00	0.00	0.00	NULL	0.00	1.00	0.00	2.00	1.00	4.00	1.00	1.00	3.00	4.00	1.00	5.00	Road,Barn,Field,,	110	0	-1.42	1	2023-05-13 04:51:35	2023-05-13 04:51:35	2023-05-13 04:51:35
14	2e46b02c1c	1	1	gotpsi	p21000	0.00	1.00	1.00	NULL	1.00	0.00	0.00	5.00	2.00	5.00	2.00	4.00	2.00	5.00	4.00	4.00	Fish,Ocean,Seaweed,Blue,	81	0	-0.84	1	2023-05-13 05:01:30	2023-05-13 05:01:30	2023-05-13 05:01:30
15	2e46b02c1c	1	2	gotpsi	400089	1.00	0.00	1.00	NULL	0.00	1.00	0.00	2.00	1.00	3.00	1.00	1.00	2.00	4.00	2.00	5.00	Mountain,Valley,Landscape,,	52	0_100	-0.10	1	2023-05-13 05:02:27	2023-05-13 05:02:27	2023-05-13 05:02:27
16	fbf3589622	1	1	GotPsi	p22001	0.00	1.00	1.00	NULL	1.00	0.00	1.00	3.00	3.00	5.00	1.00	2.00	4.00	5.00	5.00	5.00	Car,Rocks,Garden,Speed,Wheel	114	0	-0.19	1	2023-05-13 05:39:35	2023-05-13 05:39:35	2023-05-13 05:39:35
17	5b84771544	1	1	gotpsi	400023	0.00	1.00	1.00	NULL	1.00	0.00	0.00	4.00	2.00	3.00	2.00	2.00	4.00	4.00	4.00	5.00	Water,Sun,Sand,,	119	0	-0.07	1	2023-05-13 06:54:20	2023-05-13 06:54:20	2023-05-13 06:54:20
18	5b84771544	1	2	gotpsi	p27025	1.00	1.00	1.00	NULL	0.00	0.00	0.00	5.00	2.00	2.00	1.00	1.00	1.00	5.00	3.00	5.00	Flash,Drops,Gloomy,,	67	0_100	-0.96	1	2023-05-13 06:55:38	2023-05-13 06:55:38	2023-05-13 06:55:38
19	5b84771544	1	1	gotpsi	400005	0.00	0.00	0.00	NULL	0.00	0.00	1.00	5.00	2.00	5.00	2.00	3.00	5.00	3.00	4.00	3.00	Tranquility,Calming,Bliss,,	58	0	-1.09	1	2023-05-13 07:23:34	2023-05-13 07:23:34	2023-05-13 07:23:34
20	5b84771544	1	2	gotpsi	400028	0.00	1.00	0.00	NULL	1.00	0.00	1.00	3.00	3.00	3.00	4.00	3.00	3.00	3.00	3.00	3.00	Sun,Warm,Clear,,	51	0_100	1.49	1	2023-05-13 07:24:33	2023-05-13 07:24:33	2023-05-13 07:24:33
21	3e86ab4470	1	1	GotPsi	j0164051	0.00	0.00	0.00	NULL	0.00	0.00	1.00	1.00	1.00	3.00	1.00	5.00	5.00	5.00	1.00	5.00	Cheetah,Plain,Hot,,	97	0	0.38	1	2023-05-13 12:59:54	2023-05-13 12:59:54	2023-05-13 12:59:54
22	3e86ab4470	1	1	GotPsi	p247086	0.00	1.00	0.00	NULL	0.00	0.00	1.00	1.00	1.00	3.00	1.00	5.00	5.00	5.00	1.00	5.00	Cheetah,Plain,Hot,,	68	0	-0.20	1	2023-05-13 13:01:08	2023-05-13 13:01:08	2023-05-13 13:01:08
23	cfa64fd443	1	1	gotpsi	400020	0.00	1.00	0.00	NULL	1.00	0.00	1.00	5.00	1.00	3.00	1.00	1.00	4.00	5.00	1.00	5.00	Beach,Sun,Blue,,	71	0	-0.04	1	2023-05-13 14:45:16	2023-05-13 14:45:16	2023-05-13 14:45:16
24	cfa64fd443	1	2	gotpsi	j0180718	0.00	0.00	0.00	NULL	1.00	1.00	1.00	1.00	1.00	5.00	3.00	5.00	3.00	5.00	5.00	3.00	Lizard,Dark,Single,,	72	0_100	-0.37	1	2023-05-13 14:46:35	2023-05-13 14:46:35	2023-05-13 14:46:35
25	551ffb1b22	1	1	gotpsi	p34054	0.00	1.00	0.00	NULL	1.00	0.00	0.00	4.00	2.00	2.00	1.00	2.00	1.00	4.00	2.00	5.00	circle,ice,blue,space,earth	127	0	-0.94	1	2023-05-13 15:23:20	2023-05-13 15:23:20	2023-05-13 15:23:20
26	551ffb1b22	1	2	gotpsi	j0145217	1.00	0.00	0.00	NULL	0.00	1.00	0.00	2.00	4.00	2.00	1.00	1.00	5.00	2.00	2.00	4.00	square,desert,sandy,temple,stones	98	0_100	-0.38	1	2023-05-13 15:25:08	2023-05-13 15:25:08	2023-05-13 15:25:08
27	551ffb1b22	1	1	gotpsi	j0145798	0.00	1.00	1.00	NULL	0.00	0.00	0.00	4.00	3.00	1.00	2.00	1.00	3.00	1.00	5.00	5.00	boats,ball,windy,loud,commotion	88	0	-0.63	1	2023-05-13 16:09:14	2023-05-13 16:09:14	2023-05-13 16:09:14
28	551ffb1b22	1	2	gotpsi	p23027	1.00	0.00	1.00	NULL	0.00	0.00	1.00	2.00	4.00	2.00	1.00	3.00	3.00	4.00	3.00	5.00	horse,clouds,mountain,cliff,man	150	0_100	-0.31	1	2023-05-13 16:11:48	2023-05-13 16:11:48	2023-05-13 16:11:48
29	0784015328	4	1	GotPsi	p121050	0.00	1.00	1.00	NULL	0.00	0.00	0.00	3.00	1.00	5.00	1.00	5.00	4.00	5.00	5.00	5.00	animals,jungle,tropical,hot,	111	0	-0.74	1	2023-05-13 20:43:47	2023-05-13 20:43:47	2023-05-13 20:43:47
30	891172471b	1	1	GotPsi	p29002	0.00	0.00	1.00	NULL	0.00	0.00	1.00	4.00	2.00	5.00	1.00	3.00	3.00	5.00	3.00	5.00	sun,mountains,lake,,	55	0	0.01	1	2023-05-13 20:44:18	2023-05-13 20:44:18	2023-05-13 20:44:18
31	891172471b	1	1	GotPsi	400075	1.00	0.00	0.00	NULL	1.00	0.00	0.00	2.00	2.00	3.00	4.00	1.00	3.00	4.00	1.00	2.00	fruit,plates,counters,,	55	0	0.89	1	2023-05-13 20:45:19	2023-05-13 20:45:19	2023-05-13 20:45:19
32	0784015328	4	1	GotPsi	j0202015	0.00	1.00	1.00	NULL	0.00	1.00	0.00	1.00	1.00	3.00	4.00	1.00	3.00	4.00	1.00	1.00	food,fruit,bowl,,	115	0	0.96	1	2023-05-13 20:45:51	2023-05-13 20:45:51	2023-05-13 20:45:51
33	891172471b	1	1	GotPsi	p72094	0.00	1.00	1.00	NULL	1.00	0.00	0.00	1.00	4.00	2.00	1.00	5.00	4.00	3.00	3.00	4.00	animals,colors,people,,	62	0	-0.73	1	2023-05-13 20:46:26	2023-05-13 20:46:26	2023-05-13 20:46:26
34	891172471b	1	1	GotPsi	p1010	0.00	1.00	1.00	NULL	1.00	0.00	1.00	1.00	5.00	2.00	1.00	4.00	1.00	1.00	4.00	3.00	red,santa,fire,,	40	0	0.22	1	2023-05-13 20:47:11	2023-05-13 20:47:11	2023-05-13 20:47:11
35	eb1f2db343	1	1	gotpsi	p149099	1.00	0.00	0.00	NULL	0.00	1.00	0.00	3.00	2.00	4.00	1.00	2.00	3.00	5.00	4.00	5.00	Columns,Slant,Water,,	78	0	0.46	1	2023-05-14 00:55:04	2023-05-14 00:55:04	2023-05-14 00:55:04
36	eb1f2db343	1	2	gotpsi	400047	0.00	0.00	0.00	NULL	1.00	0.00	1.00	2.00	3.00	2.00	3.00	1.00	3.00	2.00	3.00	1.00	Table,Birthday party,Wood,,	64	0_100	-1.23	1	2023-05-14 00:56:18	2023-05-14 00:56:18	2023-05-14 00:56:18
37	551ffb1b22	1	1	gotpsi	ph01475j	0.00	1.00	0.00	NULL	1.00	0.00	0.00	4.00	4.00	1.00	1.00	3.00	2.00	2.00	4.00	4.00	Wave,Boat,Whale,Blue,White	160	0	-0.19	1	2023-05-14 14:35:14	2023-05-14 14:35:14	2023-05-14 14:35:14
38	551ffb1b22	1	2	gotpsi	400095	0.00	1.00	1.00	NULL	0.00	1.00	0.00	1.00	3.00	2.00	3.00	2.00	4.00	5.00	2.00	3.00	Spiral,Cone,Sand,Root,	151	0_100	0.25	1	2023-05-14 14:37:48	2023-05-14 14:37:48	2023-05-14 14:37:48
39	fff8c30e58	1	1	GotPsi	p19045	0.00	0.00	1.00	NULL	0.00	1.00	1.00	4.00	4.00	5.00	2.00	5.00	2.00	5.00	1.00	5.00	rock,white,nature,,	61	0	-1.31	1	2023-05-14 15:34:40	2023-05-14 15:34:40	2023-05-14 15:34:40
40	fff8c30e58	1	1	GotPsi	ph02890j	0.00	0.00	1.00	NULL	1.00	1.00	1.00	5.00	5.00	4.00	2.00	2.00	3.00	1.00	1.00	5.00	building,yellow,people,,	62	0	0.67	1	2023-05-14 15:35:44	2023-05-14 15:35:44	2023-05-14 15:35:44
41	52946e67cb	1	1	GotPsi	p35011	0.00	1.00	0.00	NULL	1.00	0.00	1.00	5.00	1.00	3.00	1.00	1.00	3.00	4.00	1.00	5.00	CLOUDS,DAM,WATER,,	142	0	-1.28	1	2023-05-14 16:16:43	2023-05-14 16:16:43	2023-05-14 16:16:43
42	52946e67cb	1	1	GotPsi	j0180710	0.00	0.00	1.00	NULL	0.00	1.00	0.00	2.00	5.00	4.00	3.00	1.00	4.00	3.00	5.00	4.00	LAUGHTER,ARMS,RED,HAIR,PLAY	125	0	0.61	1	2023-05-14 16:19:00	2023-05-14 16:19:00	2023-05-14 16:19:00
43	52946e67cb	1	1	GotPsi	400006	0.00	1.00	0.00	NULL	0.00	0.00	1.00	4.00	1.00	5.00	3.00	5.00	4.00	5.00	4.00	5.00	LION,TREE,WATER,,	71	0	-0.31	1	2023-05-14 17:01:04	2023-05-14 17:01:04	2023-05-14 17:01:04
44	52946e67cb	1	1	GotPsi	400055	1.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	5.00	4.00	4.00	2.00	3.00	3.00	4.00	5.00	GARDEN,DRESS,GIRL,,	88	0	0.70	1	2023-05-14 17:02:57	2023-05-14 17:02:57	2023-05-14 17:02:57
45	52946e67cb	1	1	GotPsi	p173084	1.00	0.00	0.00	NULL	0.00	0.00	0.00	1.00	3.00	1.00	1.00	1.00	1.00	1.00	5.00	5.00	SKY,CLOUD,AEROPLANE,,	52	0	0.18	1	2023-05-14 17:04:01	2023-05-14 17:04:01	2023-05-14 17:04:01
46	52946e67cb	1	1	GotPsi	400027	0.00	0.00	1.00	NULL	0.00	1.00	0.00	1.00	3.00	3.00	1.00	1.00	4.00	2.00	1.00	4.00	BUILDINGS,TOWER,METAL,,	104	0	-0.11	1	2023-05-14 17:06:18	2023-05-14 17:06:18	2023-05-14 17:06:18
47	52946e67cb	1	1	GotPsi	p22001	0.00	1.00	0.00	NULL	1.00	0.00	0.00	5.00	5.00	5.00	2.00	5.00	2.00	5.00	4.00	5.00	FISH,DIVER,SEA,,	77	0	1.18	1	2023-05-14 17:22:13	2023-05-14 17:22:13	2023-05-14 17:22:13
48	891172471b	1	1	GotPsi	j0144694	0.00	0.00	1.00	NULL	0.00	1.00	1.00	1.00	1.00	4.00	1.00	3.00	3.00	5.00	2.00	5.00	rocks,sky,clouds,,	53	0	-0.39	1	2023-05-14 18:27:04	2023-05-14 18:27:04	2023-05-14 18:27:04
49	891172471b	1	1	GotPsi	400015	1.00	0.00	0.00	NULL	1.00	1.00	0.00	2.00	4.00	4.00	1.00	1.00	4.00	3.00	3.00	2.00	yellow,bright,patterns,,	71	0	1.01	1	2023-05-14 18:28:23	2023-05-14 18:28:23	2023-05-14 18:28:23
50	891172471b	1	1	GotPsi	p125002	0.00	0.00	0.00	NULL	0.00	1.00	1.00	4.00	2.00	5.00	1.00	4.00	1.00	5.00	3.00	5.00	snow,pinetrees,winter,,	54	0	1.42	1	2023-05-14 19:28:39	2023-05-14 19:28:39	2023-05-14 19:28:39
51	891172471b	1	1	GotPsi	j0144615	0.00	1.00	1.00	NULL	1.00	0.00	1.00	1.00	3.00	2.00	1.00	1.00	3.00	3.00	4.00	4.00	cars,yellow,fast,,	50	0	0.76	1	2023-05-14 19:29:39	2023-05-14 19:29:39	2023-05-14 19:29:39
52	891172471b	1	1	GotPsi	ph02890j	1.00	1.00	1.00	NULL	0.00	0.00	1.00	4.00	1.00	1.00	1.00	2.00	5.00	4.00	5.00	5.00	volcano,fire,movement,,	58	0	1.60	1	2023-05-14 19:30:46	2023-05-14 19:30:46	2023-05-14 19:30:46
53	891172471b	1	1	GotPsi	j0178759	0.00	1.00	0.00	NULL	1.00	1.00	0.00	1.00	4.00	1.00	1.00	4.00	3.00	2.00	1.00	2.00	gray,waves,hair,,	68	0	-0.37	1	2023-05-14 19:31:59	2023-05-14 19:31:59	2023-05-14 19:31:59
54	c747db03a2	1	1	gotpsi	p170071	0.00	1.00	1.00	NULL	0.00	0.00	0.00	2.00	1.00	5.00	4.00	1.00	3.00	5.00	3.00	5.00	Red,Willow,Juicy,Blue,Airy	141	0	-0.30	1	2023-05-14 20:43:33	2023-05-14 20:43:33	2023-05-14 20:43:33
55	c747db03a2	1	2	gotpsi	p1056	0.00	1.00	0.00	NULL	0.00	1.00	0.00	1.00	1.00	1.00	5.00	1.00	3.00	3.00	3.00	3.00	Sticks,Sugar,Colors,Hard,Lollipops	74	0_100	-0.26	1	2023-05-14 20:49:22	2023-05-14 20:49:22	2023-05-14 20:49:22
56	52946e67cb	1	1	GotPsi	400052	1.00	1.00	0.00	NULL	0.00	0.00	0.00	5.00	2.00	4.00	1.00	1.00	4.00	3.00	4.00	5.00	sail,tower,mountain,sea,desert	387	0	-1.31	1	2023-05-15 08:18:18	2023-05-15 08:18:18	2023-05-15 08:18:18
57	52946e67cb	1	1	GotPsi	j0145217	1.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	1.00	5.00	2.00	2.00	4.00	4.00	2.00	4.00	mountain,tower,desert,,	81	0	-1.18	1	2023-05-15 08:19:54	2023-05-15 08:19:54	2023-05-15 08:19:54
58	52946e67cb	1	1	GotPsi	p121050	0.00	0.00	0.00	NULL	0.00	0.00	0.00	5.00	3.00	5.00	2.00	5.00	3.00	5.00	2.00	5.00	tree,mountain,lake,,	63	0	2.21	1	2023-05-15 08:21:04	2023-05-15 08:21:04	2023-05-15 08:21:04
59	52946e67cb	1	1	GotPsi	p19045	0.00	0.00	0.00	NULL	0.00	0.00	0.00	2.00	3.00	5.00	2.00	4.00	4.00	3.00	3.00	4.00	rock,tree,path,,	81	0	-0.98	1	2023-05-15 08:22:43	2023-05-15 08:22:43	2023-05-15 08:22:43
60	52946e67cb	1	1	GotPsi	p74015	1.00	1.00	0.00	NULL	0.00	0.00	0.00	2.00	2.00	2.00	2.00	4.00	3.00	3.00	4.00	4.00	bird,clouds,sand,,	85	0	0.33	1	2023-05-15 08:25:16	2023-05-15 08:25:16	2023-05-15 08:25:16
61	52946e67cb	1	1	GotPsi	400038	1.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	5.00	5.00	4.00	4.00	3.00	2.00	3.00	5.00	people,mountain,trees,,	62	0	-1.45	1	2023-05-15 08:26:53	2023-05-15 08:26:53	2023-05-15 08:26:53
62	52946e67cb	1	1	GotPsi	400010	0.00	0.00	0.00	NULL	0.00	0.00	0.00	2.00	5.00	5.00	5.00	5.00	2.00	5.00	3.00	4.00	horse,grass,ball,,	65	0	-1.05	1	2023-05-15 08:28:06	2023-05-15 08:28:06	2023-05-15 08:28:06
63	52946e67cb	1	1	GotPsi	p46014	0.00	0.00	0.00	NULL	0.00	0.00	0.00	5.00	1.00	4.00	1.00	1.00	3.00	2.00	2.00	4.00	bridge,metal,red,,	53	0	0.19	1	2023-05-15 08:29:10	2023-05-15 08:29:10	2023-05-15 08:29:10
64	52946e67cb	1	1	GotPsi	ph01948j	0.00	1.00	0.00	NULL	0.00	0.00	0.00	3.00	5.00	4.00	1.00	4.00	4.00	3.00	4.00	4.00	park,building,girl,,	87	0	-1.92	1	2023-05-15 08:30:47	2023-05-15 08:30:47	2023-05-15 08:30:47
65	52946e67cb	1	1	GotPsi	p72094	0.00	1.00	1.00	NULL	1.00	0.00	0.00	1.00	1.00	3.00	1.00	3.00	5.00	5.00	1.00	5.00	sand,dunes,ripples,,	63	0	-0.85	1	2023-05-15 08:32:02	2023-05-15 08:32:02	2023-05-15 08:32:02
66	52946e67cb	1	1	GotPsi	p10046	0.00	0.00	0.00	NULL	0.00	0.00	1.00	4.00	5.00	2.00	2.00	2.00	1.00	3.00	3.00	4.00	snow,rock,man,,	62	0	0.06	1	2023-05-15 08:33:35	2023-05-15 08:33:35	2023-05-15 08:33:35
67	52946e67cb	1	1	GotPsi	p145059	0.00	1.00	1.00	NULL	0.00	0.00	0.00	2.00	5.00	3.00	2.00	2.00	1.00	4.00	2.00	4.00	snow,rock,man,,	64	0	-0.69	1	2023-05-15 08:34:56	2023-05-15 08:34:56	2023-05-15 08:34:56
68	52946e67cb	1	1	GotPsi	j0180718	0.00	0.00	0.00	NULL	1.00	1.00	0.00	2.00	4.00	5.00	3.00	5.00	3.00	4.00	4.00	4.00	horse,grass,trees,,	70	0	0.24	1	2023-05-15 08:36:45	2023-05-15 08:36:45	2023-05-15 08:36:45
69	52946e67cb	1	1	GotPsi	p170071	1.00	0.00	1.00	NULL	0.00	1.00	0.00	1.00	2.00	2.00	1.00	1.00	3.00	1.00	1.00	1.00	buildings,metal,wood,,	61	0	0.24	1	2023-05-15 08:38:08	2023-05-15 08:38:08	2023-05-15 08:38:08
70	95842a1959	1	1	gotpsi	p91093	0.00	0.00	0.00	NULL	1.00	0.00	0.00	3.00	1.00	2.00	1.00	2.00	4.00	5.00	4.00	5.00	River,orange,kayak,peaceful,	189	0	1.64	1	2023-05-15 20:19:51	2023-05-15 20:19:51	2023-05-15 20:19:51
71	95842a1959	1	2	gotpsi	p34054	1.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	3.00	2.00	3.00	1.00	3.00	3.00	4.00	3.00	street,market,building,life,village	84	0_100	-0.18	1	2023-05-15 20:21:29	2023-05-15 20:21:29	2023-05-15 20:21:29
72	551ffb1b22	1	1	gotpsi	p130000	1.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	3.00	1.00	2.00	1.00	3.00	1.00	1.00	2.00	comfy,rectangle,warm,sleepy,relaxed	101	0	1.05	1	2023-05-16 12:45:18	2023-05-16 12:45:18	2023-05-16 12:45:18
73	551ffb1b22	1	2	gotpsi	p157062	0.00	1.00	1.00	NULL	0.00	0.00	1.00	2.00	3.00	2.00	1.00	1.00	1.00	4.00	5.00	5.00	cold,windy,high,fast,snow	119	0_100	0.91	1	2023-05-16 12:47:20	2023-05-16 12:47:20	2023-05-16 12:47:20
74	fff8c30e58	1	1	GotPsi	j0145707	0.00	0.00	1.00	NULL	1.00	0.00	1.00	4.00	5.00	3.00	3.00	3.00	1.00	1.00	5.00	5.00	people,color,busy,,	65	0	0.84	1	2023-05-16 14:41:53	2023-05-16 14:41:53	2023-05-16 14:41:53
75	52946e67cb	1	1	GotPsi	j0180718	1.00	0.00	0.00	NULL	1.00	1.00	0.00	1.00	1.00	3.00	1.00	1.00	3.00	1.00	1.00	5.00	pillars,temple,building,,	128	0	-0.74	1	2023-05-16 15:04:18	2023-05-16 15:04:18	2023-05-16 15:04:18
76	52946e67cb	1	1	GotPsi	p74027	0.00	1.00	0.00	NULL	1.00	0.00	0.00	2.00	2.00	4.00	2.00	5.00	3.00	5.00	4.00	5.00	cub,den,bushes,,	108	0	-1.12	1	2023-05-16 15:06:15	2023-05-16 15:06:15	2023-05-16 15:06:15
77	52946e67cb	1	1	GotPsi	j0181446	0.00	1.00	1.00	NULL	0.00	0.00	0.00	5.00	5.00	1.00	1.00	1.00	2.00	3.00	5.00	5.00	sail,sea,boat,,	73	0	0.71	1	2023-05-16 15:07:37	2023-05-16 15:07:37	2023-05-16 15:07:37
78	52946e67cb	1	1	GotPsi	j0202015	1.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	5.00	2.00	2.00	2.00	3.00	2.00	4.00	5.00	cars,buildings,metal,,	132	0	-1.49	1	2023-05-16 15:10:02	2023-05-16 15:10:02	2023-05-16 15:10:02
79	52946e67cb	1	1	GotPsi	p121050	0.00	1.00	0.00	NULL	1.00	0.00	0.00	4.00	2.00	4.00	3.00	5.00	3.00	5.00	4.00	5.00	grass,fur,drink,,	112	0	0.69	1	2023-05-16 15:12:09	2023-05-16 15:12:09	2023-05-16 15:12:09
80	52946e67cb	1	1	GotPsi	p140000	0.00	1.00	0.00	NULL	0.00	0.00	0.00	5.00	1.00	1.00	4.00	5.00	1.00	5.00	5.00	5.00	ice,snow,white,,	55	0	0.87	1	2023-05-16 15:13:17	2023-05-16 15:13:17	2023-05-16 15:13:17
81	52946e67cb	1	1	GotPsi	p74015	0.00	1.00	1.00	NULL	0.00	0.00	0.00	4.00	5.00	5.00	2.00	5.00	3.00	4.00	4.00	5.00	fur,child,tree,,	195	0	0.15	1	2023-05-16 15:17:35	2023-05-16 15:17:35	2023-05-16 15:17:35
82	52946e67cb	1	1	GotPsi	400099	0.00	0.00	0.00	NULL	0.00	0.00	0.00	5.00	5.00	5.00	2.00	5.00	3.00	3.00	3.00	3.00	furry,bridge,river,,	122	0	-0.02	1	2023-05-16 15:19:49	2023-05-16 15:19:49	2023-05-16 15:19:49
83	52946e67cb	1	1	GotPsi	ph02786j	0.00	0.00	0.00	NULL	0.00	0.00	0.00	4.00	4.00	5.00	1.00	5.00	3.00	2.00	2.00	5.00	brick,stone,metal,,	116	0	1.74	1	2023-05-16 15:22:00	2023-05-16 15:22:00	2023-05-16 15:22:00
84	52946e67cb	1	1	GotPsi	p56098	0.00	0.00	0.00	NULL	0.00	0.00	0.00	4.00	4.00	5.00	2.00	5.00	3.00	2.00	3.00	5.00	fruit,horse,city,,	114	0	0.92	1	2023-05-16 15:24:17	2023-05-16 15:24:17	2023-05-16 15:24:17
85	52946e67cb	1	1	GotPsi	ph02812j	0.00	0.00	0.00	NULL	0.00	0.00	0.00	4.00	4.00	4.00	2.00	4.00	3.00	1.00	1.00	1.00	construction,river,child,,	73	0	-0.89	1	2023-05-16 15:26:34	2023-05-16 15:26:34	2023-05-16 15:26:34
86	52946e67cb	1	1	GotPsi	p121085	0.00	0.00	0.00	NULL	0.00	0.00	0.00	4.00	5.00	5.00	3.00	4.00	2.00	1.00	1.00	4.00	contruction,bridge,river,,	54	0	0.53	1	2023-05-16 15:27:49	2023-05-16 15:27:49	2023-05-16 15:27:49
87	52946e67cb	1	1	GotPsi	j0175402	0.00	0.00	0.00	NULL	0.00	0.00	0.00	4.00	5.00	4.00	2.00	4.00	4.00	1.00	1.00	5.00	stone,bricks,stairs,,	59	0	0.37	1	2023-05-16 15:29:02	2023-05-16 15:29:02	2023-05-16 15:29:02
88	52946e67cb	1	1	GotPsi	400018	0.00	0.00	0.00	NULL	0.00	0.00	0.00	5.00	5.00	5.00	5.00	5.00	3.00	3.00	3.00	3.00	pie,stairs,circle,,	51	0	-0.98	1	2023-05-16 15:30:08	2023-05-16 15:30:08	2023-05-16 15:30:08
89	52946e67cb	1	1	GotPsi	400006	0.00	0.00	0.00	NULL	0.00	0.00	0.00	5.00	5.00	5.00	4.00	4.00	3.00	3.00	3.00	3.00	bridge,stairs,night,,	61	0	-0.85	1	2023-05-16 15:31:22	2023-05-16 15:31:22	2023-05-16 15:31:22
90	dc8b1e36ff	1	1	GotPsi	p87001	1.00	0.00	0.00	NULL	0.00	1.00	0.00	2.00	2.00	2.00	1.00	2.00	4.00	5.00	2.00	5.00	traingles,sand,desert,,	71	0	-0.27	1	2023-05-16 17:51:57	2023-05-16 17:51:57	2023-05-16 17:51:57
91	dc8b1e36ff	1	1	GotPsi	p149050	0.00	0.00	0.00	NULL	0.00	1.00	0.00	2.00	5.00	4.00	4.00	2.00	3.00	2.00	5.00	4.00	people,movement,road,food,	77	0	-0.30	1	2023-05-16 17:53:24	2023-05-16 17:53:24	2023-05-16 17:53:24
